mp-4961, Na2HgO2
mp-4979, AlCuS2
mp-5012, Li2SiO3
mp-5020, BaTiO3
mp-5038, CsGaS2
mp-504535, InHO2
mp-5046, BeSO4
mp-504729, Cs2PdF6
mp-5048, LiGaTe2
mp-504838, CsPS3
mp-505297, NbSbRu
mp-505634, Cs2Te3
mp-505825, Cs2PtC2
mp-5061, Li5ReO6
mp-5072, Rb2HgO2
mp-5077, NaLi2Sb
mp-5078, SrZnF4
mp-510268, Cs2Pd3S4
mp-510273, CsSbO2
mp-5122, Na3AlP2
mp-5127, LiCuO
mp-5132, YPO4
mp-5175, NaInO2
mp-5213, CdSnP2
mp-5238, GaCuS2
mp-5280, In2Ge2O7
mp-5295, LaNbO4
mp-5339, CsNaTe
mp-5342, GaAgS2
mp-5348, MgCO3
mp-5350, Zn(GaS2)2
mp-5377, YTaO4
mp-5380, Ca4P2O
mp-539, Ga2S3
mp-5394, LaSF
mp-540584, K2PdO2
mp-540703, Cs2S
mp-540957, Cs2TeI6
mp-541037, CsCuO
mp-541044, CsYO2
mp-541226, CsBrF6
mp-5414, NaSbS2
mp-541899, CsCdBr3
mp-541989, Na2CN2
mp-5427, Mg2P2O7
mp-543024, Cs2Pd(IBr2)2
mp-5431, BaTeO3
mp-545359, KNa2CuO2
mp-545500, BaSbClO2
mp-545544, Ba2TaBiO6
mp-546011, YZnAsO
mp-546125, ScAsO4
mp-546500, NaCNO
mp-546794, SiO2
mp-546864, Y2C(NO)2
mp-547244, SrBiClO2
mp-5475, NaTaN2
mp-547792, KSbO3
mp-5478, TlPd3O4
mp-5479, RbAlF4
mp-5488, LiInO2
mp-549589, LaZnAsO
mp-549697, RbGeIO6
mp-549737, Ba2Ca(BO3)2
mp-550685, Ba2CaTeO6
mp-550751, BaBeSiO4
mp-551092, KLiZnO2
mp-551203, Sr2I2O
mp-551243, BaBiIO2
mp-551269, Ba2LaSbO6
mp-551456, Ba2CuClO2
mp-5518, GaAgSe2
mp-551835, Ba2I2O
mp-551873, Ca4Bi2O
mp-552234, SrBiBrO2
mp-552488, LaCuSeO
mp-552537, Sr2CuBrO2
mp-552547, SrBiIO2
mp-552663, LiScAs2O7
mp-552806, BaBiClO2
mp-552934, Ba2CuBrO2
mp-553025, CaBiClO2
mp-5532, Sr2TiO4
mp-553281, Ba2LaNbO6
mp-553303, CsCu3O2
mp-553310, CsCuO2
mp-553342, CsBe2BO3F2
mp-553374, Cs4Sb2O5
mp-553875, Zr2SN2
mp-553961, ScNbO4
mp-554155, KSb(PO4)2
mp-554412, RbTa(PO4)2
mp-554941, KRb2BiF6
mp-555166, BaAg2SnS4
mp-555286, CsNb(PO4)2
mp-555410, ZnS
mp-555763, ZnS
mp-555874, LiAsS2
mp-556120, RbTl(SO4)2
mp-556405, LaCN2F
mp-556866, Ag2HgSI2
mp-556953, RbPS3
mp-557664, Cs2TlBiF6
mp-558071, RbS
mp-558118, BeF2
mp-558430, BaB2F8
mp-558781, ScTaO4
mp-5588, BaSiF6
mp-559092, ScF3
mp-5594, Sc2Si2O7
mp-559695, Cs2RbBiF6
mp-560037, Rb2NaBiF6
mp-560558, CsCdAuS2
mp-560588, ZnS
mp-560790, Cs2NaBiF6
mp-560791, CsNaTiO3
mp-561561, Cs2KRhF6
mp-561586, CsLaS2
mp-561710, CsSnS3
mp-5618, Mg2As2O7
mp-561827, Cs3TlF6
mp-561902, CsAg3S2
mp-561947, CsHgF3
mp-5621, NbCu3S4
mp-5652, Y2Si2O7
mp-567290, LaN
mp-567373, LaCN2Cl
mp-567558, CsAgCl2
mp-567636, VFeSb
mp-567652, Cs2LiYCl6
mp-567655, Sr2C(NCl)2
mp-567666, Ba3BiN
mp-567680, BaCl2
mp-567744, SrBr2
mp-567776, Cs2AgAuCl6
mp-567841, Be3P2
mp-567913, CsAuSe3
mp-568018, RbSb2
mp-568032, Cd(InSe2)2
mp-568052, K2Ga3
mp-568273, LiI
mp-568284, SrI2
mp-568536, BaI2
mp-568544, CsCdCl3
mp-568560, TlBr
mp-568619, SiC
mp-568661, Cd(InSe2)2
mp-568662, BaCl2
mp-568666, RbAuI3
mp-568968, K2SnHgSe4
mp-569028, Rb2SnBr6
mp-569149, K2TeCl6
mp-569346, CuI
mp-569442, RbAuCl4
mp-569548, CsAuBr3
mp-569571, Nb3Sb2Te5
mp-569639, TlCl
mp-569677, Sr2IN
mp-569779, ScSbPd
mp-569812, BaN3Cl
mp-570008, Sr3BiN
mp-570097, Sr(Li2P)2
mp-570213, LiMgBi
mp-570256, Ag2HgI4
mp-570324, Rb2TeBr6
mp-570354, CuBr
mp-570485, SrAlSiH
mp-570538, NaN3
mp-5707, CsAsF4
mp-570844, Ga3Os
mp-570891, KBr
mp-570935, LiI
mp-571093, BaAlSiH
mp-571102, TlI
mp-571124, Cs2KScCl6
mp-571166, CaBr2
mp-571222, CsBr
mp-571306, Ca2Zn2CuP3
mp-571386, CuCl
mp-571461, K4ZnAs2
mp-571467, Cs2NaYBr6
mp-573204, Cs2KBiF6
mp-573658, Cs3BAs2
mp-573697, CsCl
mp-573721, Cs2SiAs2
mp-573755, CsTeAu
mp-573763, Cs2Te
mp-574599, CsAuSe
mp-5782, AlAgS2
mp-5784, Na2GeO3
mp-5795, CaMg2N2
mp-581024, CsK2Sb
mp-581833, RbN3
mp-5840, LiScO2
mp-5853, LiSi2N3
mp-5858, CdPtF6
mp-5860, K2HgO2
mp-5878, KZnF3
mp-588, GaF3
mp-5928, Al2CdS4
mp-5955, NaSbF6
mp-5962, NaMgAs
mp-5967, TiCoSb
mp-5986, BaTiO3
mp-602, Te2Mo
mp-6026, Na2Mg(CO3)2
mp-6058, K2NaScF6
mp-6059, Cs2KYF6
mp-608555, Cs2SnCl6
mp-6088, LaCuSO
mp-614603, CsI
mp-616378, CsSnI3
mp-6204, Cs2NaScF6
mp-623024, TiCdF6
mp-625136, CsHO
mp-626151, YHO2
mp-626620, RbHO
mp-626724, LaHO2
mp-626785, KHO
mp-6270, Ba2LiReO6
mp-632319, CsH
mp-634657, NaHS
mp-634676, KHS
mp-6384, RbSO2F
mp-638729, Cs2ZrCl6
mp-6408, ZnCu2GeS4
mp-641923, Cs2SnBr6
mp-642648, KP(HO)2
mp-642725, CaHClO
mp-643002, Mg2H6Os
mp-643101, Rb2H6Pt
mp-643243, Cs2H6Pt
mp-643257, K2H4Pd
mp-643260, Na2H4Pd
mp-643264, BaMg2FeH8
mp-643279, K2H6Pt
mp-643370, Ba2MgH6
mp-644203, CsCaH3
mp-6450, K2LiAlP2
mp-6459, CaMg(CO3)2
mp-648, Na2S
mp-6492, Ba2YSbO6
mp-6494, K2Ca(CO3)2
mp-6560, KSO2F
mp-6586, K2NaAlF6
mp-66, C
mp-661, AlN
mp-6613, Ba2YTaO6
mp-6654, Cs2LiGaF6
mp-6660, BaNaBO3
mp-6686, K2NaInF6
mp-672, CdS
mp-675011, CsPF6
mp-675104, Na3YCl6
mp-675230, NaLaS2
mp-675531, NaBiS2
mp-675902, YCuSe2
mp-676284, YAgSe2
mp-676464, Cd3AsI3
mp-676861, AlSbO4
mp-677335, GaPO4
mp-6798, Ba2NaReO6
mp-682, NaF
mp-684, BaS2
mp-684580, AgI
mp-684690, Sc2Se3
mp-684969, Sc2S3
mp-6867, KCaCO3F
mp-6870, KBe2BO3F2
mp-690785, Na2H6Pt
mp-6920, KNO3
mp-6929, Ca2As2O7
mp-6930, SiO2
mp-6947, SiO2
mp-6949, InF3
mp-6951, RbCdF3
mp-6960, Rb2SiAs2
mp-696804, RbHS
mp-697030, Mg2H6Ru
mp-697038, Ba2H6Ru
mp-697044, Ba2H6Os
mp-697096, Na2H4Pt
mp-697133, Cs2CaH4
mp-697144, RbH2N
mp-6972, YCuO2
mp-6973, CsNaS
mp-6980, ScCuS2
mp-6983, NaAgO
mp-6984, K2SiAs2
mp-6989, BaSeO3
mp-7000, SiO2
mp-7017, NaNbN2
mp-7027, InBO3
mp-7041, CaHgO2
mp-7060, LaZnPO
mp-7067, Ca(CdAs)2
mp-7077, KAuS
mp-7089, KMgSb
mp-7090, NaMgSb
mp-7100, LaOF
mp-7104, CsCaF3
mp-7128, Cd(AsO3)2
mp-7140, SiC
mp-7148, K2SrTa2O7
mp-7173, ScSbPt
mp-7176, RbLaSe2
mp-7188, Al2Os
mp-7219, Na2ZrSe3
mp-7232, Cs2HgO2
mp-7233, La2SeO2
mp-7251, Ba2YNbO6
mp-7297, Cs2SnF6
mp-730, P2Pt
mp-7323, RbBe2BO3F2
mp-733, GeO2
mp-736, Li3P
mp-7374, Ba(CuO)2
mp-7375, KNbO3
mp-7392, Na2AgSb
mp-7394, BaAg2GeS4
mp-7421, KZnAs
mp-743, RbN3
